"","Week","Start","Qty","Eventi","Temperatura","Tv_15","Tv_30","Radio_15","Radio_30","Tv","If_Tv","Radio","Tv_Radio","If_radio","Giorno","Mese_num","Mese","Anno","Stagione"
"1",2,2016-01-03,3942,0,48,0,0,0,0,0,0,0,0,0,3,1,"gen",2016,"Alta_Stagione"
"2",3,2016-01-10,3715,0,58,0,0,0,0,0,0,0,0,0,10,1,"gen",2016,"Alta_Stagione"
"3",4,2016-01-17,3804,0,38,0,0,0,0,0,0,0,0,0,17,1,"gen",2016,"Alta_Stagione"
"4",5,2016-01-24,3704,0,58,0,0,0,0,0,0,0,0,0,24,1,"gen",2016,"Alta_Stagione"
"5",6,2016-01-31,4144,0,59,0,0,0,0,0,0,0,0,0,31,1,"gen",2016,"Alta_Stagione"
"6",7,2016-02-07,3977,0,56,0,0,0,0,0,0,0,0,0,7,2,"feb",2016,"Alta_Stagione"
"7",8,2016-02-14,4176,0,58,0,0,0,0,0,0,0,0,0,14,2,"feb",2016,"Alta_Stagione"
"8",9,2016-02-21,4145,0,62,0,0,0,0,0,0,0,0,0,21,2,"feb",2016,"Alta_Stagione"
"9",10,2016-02-28,4223,0,62,0,0,0,0,0,0,0,0,0,28,2,"feb",2016,"Alta_Stagione"
"10",11,2016-03-06,4077,0,56,0,0,0,0,0,0,0,0,0,6,3,"mar",2016,"Alta_Stagione"
"11",12,2016-03-13,3786,0,64,0,0,0,0,0,0,0,0,0,13,3,"mar",2016,"Alta_Stagione"
"12",13,2016-03-20,3591,0,73,0,146,0,0,146,1,0,146,1,20,3,"mar",2016,"Alta_Stagione"
"13",14,2016-03-27,4558,335,81,229,217,0,0,446,1,0,446,1,27,3,"mar",2016,"Alta_Stagione"
"14",15,2016-04-03,4383,0,88,451,242,0,0,693,1,0,693,1,3,4,"apr",2016,"Alta_Stagione"
"15",16,2016-04-10,4366,0,93,704,218,0,0,922,1,0,922,1,10,4,"apr",2016,"Alta_Stagione"
"16",17,2016-04-17,4098,0,94,146,196,0,0,342,1,0,342,1,17,4,"apr",2016,"Alta_Stagione"
"17",18,2016-04-24,3857,0,81,30,177,0,0,207,1,0,207,1,24,4,"apr",2016,"Alta_Stagione"
"18",19,2016-05-01,3765,268,90,6,159,0,0,165,1,0,165,1,1,5,"mag",2016,"Alta_Stagione"
"19",20,2016-05-08,3989,0,91,1,143,0,0,144,1,0,144,1,8,5,"mag",2016,"Alta_Stagione"
"20",21,2016-05-15,3528,0,95,0,129,0,0,129,1,0,129,1,15,5,"mag",2016,"Alta_Stagione"
"21",22,2016-05-22,3440,0,107,0,144,0,0,144,1,0,144,1,22,5,"mag",2016,"Alta_Stagione"
"22",23,2016-05-29,3782,67,100,0,56,0,0,56,1,0,56,1,29,5,"mag",2016,"Alta_Stagione"
"23",24,2016-06-05,3478,0,111,0,7,0,0,7,1,0,7,1,5,6,"giu",2016,"Alta_Stagione"
