"","Week","Start","Eventi","Temperatura","Qty","Tv_15","Tv_30","Radio_15","Radio_30","Tv","If_Tv","If_Tv_2","Anno","Mese"
"1",2,2016-01-03,0,47.6286070161546,3942.33333333333,0,0,0,0,0,0,0,2016,"gennaio"
"2",3,2016-01-10,0,57.5973852288381,3715.33333333333,0,0,0,0,0,0,0,2016,"gennaio"
"3",4,2016-01-17,0,38.4785207339813,3804,0,0,0,0,0,0,0,2016,"gennaio"
"4",5,2016-01-24,0,58.1752854150807,3703.66666666667,0,0,0,0,0,0,0,2016,"gennaio"
"5",6,2016-01-31,0,58.560552205909,4143.66666666667,0,0,0,0,0,0,0,2016,"gennaio"
"6",7,2016-02-07,0,56.4736904222555,3977.33333333333,0,0,0,0,0,0,0,2016,"febbraio"
"7",8,2016-02-14,0,58.0789687173736,4175.66666666667,0,0,0,0,0,0,0,2016,"febbraio"
"8",9,2016-02-21,0,61.8834782768035,4145.33333333333,0,0,0,0,0,0,0,2016,"febbraio"
"9",10,2016-02-28,0,61.8834782768035,4222.66666666667,0,0,0,0,0,0,0,2016,"febbraio"
"10",11,2016-03-06,0,56.1044764143783,4077,0,0,0,0,0,0,0,2016,"marzo"
"11",12,2016-03-13,0,64.4840291148949,3785.66666666667,0,0,0,0,0,0,0,2016,"marzo"
"12",13,2016-03-20,0,73.3451653039469,3590.66666666667,0,145.79,0,0,145.79,1,2,2016,"marzo"
"13",14,2016-03-27,334.847589790573,81.3795831710131,4557.66666666667,229.44,216.92,0,0,446.36,1,3,2016,"marzo"
"14",15,2016-04-03,0,88.1899763380517,4382.66666666667,450.72,242.45,0,0,693.17,1,3,2016,"aprile"
"15",16,2016-04-10,0,93.2801678774808,4366.33333333333,704.2,218.2,0,0,922.4,1,3,2016,"aprile"
"16",17,2016-04-17,0,93.8124635667029,4098,146.45,196.38,0,0,342.83,1,3,2016,"aprile"
"17",18,2016-04-24,0,81.4839262601958,3856.66666666667,30.46,176.75,0,0,207.21,1,3,2016,"aprile"
"18",19,2016-05-01,267.878071832458,90.3932207981013,3765.33333333333,6.33,159.07,0,0,165.4,1,2,2016,"maggio"
"19",20,2016-05-08,0,91.1155960309045,3989,1.32,143.16,0,0,144.48,1,2,2016,"maggio"
"20",21,2016-05-15,0,95.0164222880415,3528,0.27,128.85,0,0,129.12,1,2,2016,"maggio"
"21",22,2016-05-22,0,107.489434641109,3440,0.06,143.58,0,0,143.64,1,2,2016,"maggio"
